,section: ,news_title,link_url
0,헤드라인,톱4 없는 국힘 '쪽방촌 봉사'…대선버스 출발부터 삐걱,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=018&aid=0005003416
1,헤드라인,"SK이노도 배터리 독립시킨다, 10월 물적분할",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=025&aid=0003124370
2,헤드라인,"사면초가 몰린 쿠오모, 스스로 물러날까…탄핵 시계도 '째깍'",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=104&oid=055&aid=0000912528
3,헤드라인,로톡 등 ‘플랫폼 광고’ 금지 규정 오늘부터 시행… ‘변호사법 위반’ 놓고 해석 갈려,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=102&oid=277&aid=0004948998
4,헤드라인,대구 121명 신규 확진…지난해 3월11일 131명 이후 최다,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=102&oid=421&aid=0005523500
5,정치,"[최강시사] 이준석 “안철수 ‘전범’ 운운, 정상적인 정치 지도자 간 대화 아냐”",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=056&aid=0011095778
6,정치,"사흘간 영남 찾는 최재형, 월성 원전도 방문…윤석열, 나흘간 휴가",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=366&aid=0000752064
7,정치,"김근식 “이재명, 음주운전 공격받자 김연경 끌어들여”",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=081&aid=0003206897
8,정치,"이준석 ""안철수, 그냥 내가 싫은 거 아닌가?""",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=018&aid=0005003491
9,정치,"'도리도리 점검단'…윤석열, '쩍벌' 이어 또 셀프디스",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=018&aid=0005003488
10,경제,"GS건설, 이천 첫 자이 아파트 '이천자이 더 파크' 내달 분양",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=031&aid=0000616594
11,경제,평택지제역자이 평균 경쟁률 30.5대 1로 1순위 청약 마감,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=031&aid=0000616593
12,경제,1인가구도 아파트 살고 싶지만…초소형은 태부족[더 머니이스트-심형석의 부동산정석],https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=015&aid=0004587855
13,경제,"[코인뉴스] ‘하드포크’ 이더리움, 비트코인 제치고 ‘믿을맨’ 등극하나",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=119&aid=0002517717
14,경제,"아이를 위한 집, 평택고덕 신혼희망타운 첫 입주",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=119&aid=0002517715
15,사회,"[속보] 신규확진 1,776명…내일 4단계 연장 여부 발표",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=102&oid=057&aid=0001598166
16,사회,“정치 못하는 XXX” 통수권자 대통령 모욕 혐의 20대 군인 항소심도 ‘무죄’,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=102&oid=022&aid=0003607191
17,사회,"울산, 기존 확진자 접촉·가족 간 감염 등 확진자 11명 추가 발생",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=102&oid=022&aid=0003607190
18,사회,진주교대 장애 수험생 입학성적 조작 파문,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=102&oid=056&aid=0011095761
19,사회,"경남 이틀째 100명대…창원시, 내일부터 ‘4단계’",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=102&oid=056&aid=0011095757
20,생활/문화,벌써 발기부전... 빨리 심장검사 해야 하는 이유는?,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=103&oid=296&aid=0000051168
21,생활/문화,"""고목이지만 잎의 기세가 좋은 나무는, 분명 속이 비어있습니다""",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=103&oid=002&aid=0002203431
22,생활/문화,[ESC] 싱가포르에는 맛집 천국 ‘호커센터’가 있다,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=103&oid=028&aid=0002555470
23,생활/문화,[ESC] 안산의 짧은 머리? 프로의 냉철한 선택이었을 뿐!,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=103&oid=028&aid=0002555469
24,생활/문화,[시승기] “아반떼는 잊어라”… 고성능 스포츠세단 아반떼 ‘N’이 나타났다,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=103&oid=022&aid=0003607174
25,세계,X레이 사진으로 본 코로나 백신의 효과,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=104&oid=277&aid=0004949028
26,세계,"美, 미얀마 사태 개입 본격화?…미얀마 망명정부와 고위급 첫 접촉",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=104&oid=016&aid=0001870834
27,세계,美 “추가 접종 필요하면 시작…저개발국 동시 공급 가능”,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=104&oid=056&aid=0011095760
28,세계,WHO “최소 9월 말까지 ‘추가 접종’ 중단해달라”,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=104&oid=056&aid=0011095758
29,세계,"'억만장자' 리한나, 세계에서 가장 부유한 여가수 등극...재산 2조",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=104&oid=009&aid=0004834068
30,IT/과학,"미스터리한 곰팡이, 우주로 떠난다 [우주로 간다]",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=092&aid=0002229871
31,IT/과학,"배터리 3사, 2분기 반도체 부족 불구 선방…3분기 '전원 흑자' 기대",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=138&aid=0002108143
32,IT/과학,"삼성, 갤럭시 언팩 기대감↑…트레일러 영상 조회수 1억 돌파",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=008&aid=0004626778
33,IT/과학,"""폴더블 관심 UP""…'삼성 갤럭시 언팩' 트레일러 영상 1억뷰 돌파",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=031&aid=0000616579
34,IT/과학,"삼성 '올인'하는 폴더블 언팩, 트레일러도 최단 시간 조회수 '1억'",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=421&aid=0005523538
